Win/Loss (Fighter1),Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Win,Aiemann Zahabi,Drako Rodriguez,Bantamweight,KO/TKO Punch,1,am,0.85,13,11,2,0,3.43,0.43,3.61,0.71,0.2,0.16,0.79,0,0.7,10,7,3,0,3.37,0.36,4.4,0.58,2.93,0.66,0.75,0.7
Win,Serghei Spivac,Jared Vanderaa,Heavyweight,KO/TKO Punches,2,am,0.8,20,16,4,0,3.54,0.49,3.79,0.49,4.56,0.64,0.7,0.5,0.55,22,12,10,0,4.96,0.44,5.67,0.45,0.18,0.5,0.2,0
Win,Kamaru Usman,Gilbert Burns,Welterweight,KO/TKO Punches,3,am,0.83,24,20,4,0,4.36,0.52,2.74,0.54,2.82,0.45,0.89,0.1,0.76,29,22,7,0,3.29,0.48,3.42,0.54,2.24,0.38,0.5,0.5
Win,Alexa Grasso,Maycee Barber,Women's Flyweight,U-DEC,3,am,0.8,20,16,3,1,4.67,0.43,3.95,0.58,0.41,0.45,0.59,0.6,0.88,16,14,2,0,4.7,0.53,2.9,0.54,1.44,0.43,0.53,0.1
Win,Kelvin Gastelum,Ian Heinisch,Middleweight,U-DEC,3,am,0.67,27,18,9,0,3.55,0.41,3.23,0.58,0.96,0.3,0.59,0.1,0.74,19,14,5,0,3.25,0.5,2.98,0.59,1.02,0.17,0.59,0.7
Win,Ricky Simon,Brian Kelleher,Featherweight,U-DEC,3,am,0.8,25,20,5,0,3.01,0.43,3.61,0.61,5.49,0.46,0.76,0.4,0.62,39,24,15,0,3.39,0.41,4.64,0.54,1.74,0.41,0.6,0.7
Win,Julian Marquez,Maki Pitolo,Middleweight,SUB Anaconda Choke,3,am,0.69,13,9,4,0,4.86,0.44,4.99,0.51,0,0,0.53,2.6,0.59,22,13,9,0,4.1,0.44,3.93,0.55,2.24,0.52,0.5,0.8
Win,Anthony Hernandez,Rodolfo Vieira,Middleweight,SUB Guillotine Choke,2,am,0.86,14,12,2,0,4.3,0.59,3.46,0.45,6.62,0.49,0.63,3,0.83,12,10,2,0,3.19,0.54,4.6,0.49,4.18,0.3,1,1.6
Win,Belal Muhammad,Dhiego Lima,Welterweight,U-DEC,3,am,0.88,26,23,3,0,4.55,0.43,3.64,0.57,1.98,0.35,0.93,0.2,0.65,26,17,9,0,3.12,0.39,3.88,0.58,1.26,0.34,0.73,0.6
Win,Polyana Viana,Mallory Martin,Women's Strawweight,SUB Armbar,1,am,0.65,20,13,7,0,2.99,0.4,2.65,0.53,0.82,0.33,0.38,1.9,0.58,12,7,5,0,4.42,0.48,6.64,0.55,2.28,0.43,0.25,0.3
Win,Chris Gutierrez,Andre Ewell,Catch Weight,U-DEC,3,am,0.71,28,20,6,2,4.8,0.58,2.79,0.63,0.28,0.3,0.69,0.1,0.65,26,17,9,0,4.28,0.4,4.87,0.51,0.36,0.75,0.72,0.1
Win,Gabe Green,Phil Rowe,Welterweight,U-DEC,3,am,0.69,16,11,5,0,6.28,0.45,6.95,0.47,0.83,0.5,0.53,0.3,0.71,14,10,4,0,3.94,0.52,4.32,0.54,0.85,0.4,0.59,0.4
Win,Alexander Volkov,Alistair Overeem,Heavyweight,KO/TKO Punch,2,am,0.79,47,37,10,0,5.1,0.57,3,0.54,0.49,0.63,0.73,0.2,0.71,66,47,19,0,3.67,0.64,2.44,0.57,1.42,0.55,0.73,0.8
Win,Cory Sandhagen,Frankie Edgar,Bantamweight,KO/TKO Flying Knee,1,am,0.81,21,17,4,0,5.33,0.44,3.4,0.58,1.36,0.33,0.64,0.3,0.66,35,23,11,1,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3
Win,Clay Guida,Michael Johnson,Lightweight,U-DEC,3,am,0.64,59,38,21,0,2.64,0.33,3.01,0.61,3.13,0.36,0.67,0.6,0.55,42,23,19,0,4.27,0.39,3.83,0.57,0.62,0.41,0.81,0
Win,Alexandre Pantoja,Manel Kape,Flyweight,U-DEC,3,am,0.84,32,27,5,0,4.32,0.49,3.9,0.5,2.2,0.48,0.67,1,0.76,25,19,6,0,5.12,0.54,4.51,0.59,0.65,0.37,0.77,0.4
Win,Beneil Dariush,Diego Ferreira,Lightweight,S-DEC,3,am,0.76,29,22,6,1,3.78,0.48,2.65,0.57,1.9,0.34,0.8,0.9,0.78,23,18,5,0,4.66,0.37,3.42,0.56,0.71,0.22,0.63,0.7
Win,Danilo Marques,Mike Rodriguez,Light Heavyweight,SUB Rear Naked Choke,2,am,0.73,15,11,4,0,1.44,0.79,2.52,0.52,3.93,0.28,0,0.8,0.61,18,11,7,0,4.35,0.53,4.24,0.41,0,0,0.37,0
Win,Devonte Smith,Justin Jaynes,Catch Weight,KO/TKO,2,am,0.73,15,11,4,0,4.55,0.53,3.91,0.49,0.35,0.25,0.85,0.3,0.67,24,16,8,0,3.34,0.44,5.33,0.62,0.75,0.4,0.2,1.1
Win,Karol Rosa,Joselyne Edwards,Women's Bantamweight,U-DEC,3,am,0.74,23,17,6,0,6.34,0.56,4.78,0.49,1.22,0.45,0.68,0,0.72,18,13,5,0,4.71,0.52,3.36,0.5,1,0.33,0.64,0.3
Win,Lara Procopio,Molly McCann,Women's Flyweight,U-DEC,3,am,0.78,9,7,2,0,5.64,0.58,6.5,0.47,3.15,0.47,0.5,0.3,0.7,20,14,6,0,5.79,0.49,4.94,0.63,1.82,0.38,0.43,0.6
Win,SeungWoo Choi,Youssef Zalal,Featherweight,U-DEC,3,am,0.65,17,11,6,0,3.48,0.38,3.02,0.47,0.87,0.54,0.69,0,0.7,20,14,5,1,2.88,0.49,1.73,0.65,2.28,0.34,0.6,1.3
Win,Timur Valiev,Martin Day,Featherweight,U-DEC,3,am,0.86,21,18,3,0,5.19,0.53,3.33,0.45,1.73,0.4,0.55,0.3,0.57,14,8,6,0,3.97,0.45,3.79,0.53,0.72,0.6,0.65,0.5
Win,Ode Osbourne,Jerome Rivera,Featherweight,KO/TKO Punch,1,am,0.63,19,12,7,0,3.46,0.38,4.44,0.44,1.27,0.27,0.64,0.2,0.63,16,10,6,0,3.21,0.33,2.6,0.51,0,0,0.4,0
Win,Dustin Poirier,Conor McGregor,Lightweight,KO/TKO Punches,2,am,0.79,38,30,8,0,5.45,0.51,4.36,0.53,1.33,0.36,0.63,1.4,0.79,28,22,6,0,5.32,0.49,4.66,0.54,0.67,0.55,0.66,0.1
Win,Michael Chandler,Dan Hooker,Lightweight,KO/TKO Punch,1,am,0.74,31,23,8,0,4.89,0.46,4.58,0.46,2.17,0.38,0.71,0.9,0.66,35,23,12,0,5.08,0.48,4.76,0.51,0.79,0.34,0.8,0.4
Win,Joanne Wood,Jessica Eye,Women's Flyweight,U-DEC,3,am,0.68,25,17,8,0,7.1,0.51,4.89,0.51,1.52,0.55,0.58,0.3,0.58,26,15,11,0,3.86,0.37,4.19,0.55,0.58,0.4,0.57,0.5
Win,Makhmud Muradov,Andrew Sanchez,Middleweight,KO/TKO Punches,3,am,0.76,34,26,8,0,4.21,0.43,2.57,0.61,3.03,0.66,0.77,0.2,0.65,20,13,7,0,4.3,0.43,5.1,0.5,2.55,0.36,1,0
Win,Marina Rodriguez,Amanda Ribas,Women's Strawweight,KO/TKO Punch,2,am,0.74,23,17,4,2,4.82,0.47,3.12,0.55,0.23,0.42,0.65,0.2,0.71,17,12,5,0,4.63,0.4,3.4,0.61,2.07,0.51,0.85,0.7
Win,Arman Tsarukyan,Matt Frevola,Lightweight,U-DEC,3,am,0.88,25,22,3,0,3.79,0.48,1.84,0.53,3.25,0.37,0.75,0,0.69,16,11,4,1,3.71,0.42,3.57,0.59,2.59,0.4,0.42,0.9
Win,Brad Tavares,Antonio Carlos Junior,Middleweight,U-DEC,3,am,0.67,30,20,10,0,3.38,0.43,3.15,0.55,0.78,0.26,0.81,0,0.69,16,11,5,0,1.95,0.42,2.14,0.52,3.42,0.39,0.53,0.8
Win,Julianna Pena,Sara McMann,Women's Bantamweight,SUB Rear Naked Choke,3,am,0.71,17,12,5,0,3.16,0.47,2.3,0.5,1.94,0.55,0.23,0.8,0.68,19,13,6,0,2.26,0.46,1.92,0.47,4.38,0.65,0.5,0.5
Win,Marcin Prachnio,Khalil Rountree Jr.,Light Heavyweight,U-DEC,3,am,0.71,24,17,7,0,5.61,0.55,3.3,0.54,0.17,0.2,0.58,0,0.74,19,14,5,0,3.84,0.39,4.18,0.5,0,0,0.58,0.1
Win,Movsar Evloev,Nik Lentz,Catch Weight,S-DEC,3,am,1,18,18,0,0,4.43,0.48,2.89,0.61,4.75,0.46,0.71,0.2,0.71,42,30,12,0,3.44,0.47,3.25,0.5,3.3,0.32,0.43,1.2
Win,Amir Albazi,Zhalgas Zhumagulov,Flyweight,U-DEC,3,am,0.94,18,17,1,0,2.8,0.39,3.07,0.63,1.71,0.33,0.4,0.7,0.61,23,14,9,0,5.24,0.43,5.86,0.52,1.3,0.19,0.75,0.2
Win,Michael Chiesa,Neil Magny,Welterweight,U-DEC,5,am,0.72,25,18,7,0,1.87,0.4,1.7,0.54,3.33,0.5,0.6,1,0.71,41,29,12,0,3.47,0.46,2.42,0.52,2.17,0.4,0.54,0.3
Win,Warlley Alves,Mounir Lazzez,Welterweight,KO/TKO Kick,1,am,0.68,22,15,7,0,3.25,0.48,4.21,0.5,1.35,0.5,0.8,0.9,0.79,14,11,3,0,7.49,0.55,5.42,0.53,1.8,0.57,0.71,0
Win,Ike Villanueva,Vinicius Moreira,Light Heavyweight,KO/TKO Punch,2,am,0.56,32,18,14,0,3.66,0.38,7.24,0.36,0.6,0.5,1,0,0.64,14,9,5,0,3.15,0.59,5.07,0.43,1.97,0.18,0,1.3
Win,Viviane Araujo,Roxanne Modafferi,Women's Flyweight,U-DEC,3,am,0.67,18,12,6,0,4.11,0.47,4.96,0.56,1.76,0.4,0.78,0.6,0.54,46,25,21,0,3.35,0.3,5.7,0.51,1.35,0.23,0.3,0.1
Win,Matt Schnell,Tyson Nam,Flyweight,S-DEC,3,am,0.67,24,16,8,0,4.23,0.38,4.56,0.55,0.59,0.44,0.5,1,0.58,36,21,14,1,3.87,0.33,4.97,0.65,0,0,0.87,0
Win,Lerone Murphy,Douglas Silva de Andrade,Featherweight,U-DEC,3,am,0.93,14,13,0,1,3.65,0.5,2.4,0.56,1.29,0.46,0.46,0.9,0.85,34,29,5,0,3.66,0.38,3.99,0.58,0.61,0.46,0.7,0.2
Win,Omari Akhmedov,Tom Breese,Middleweight,SUB Arm Triangle,2,am,0.75,28,21,6,1,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,0.8,15,12,3,0,3.34,0.5,2.81,0.6,0,0,0.7,1.1
Win,Ricky Simon,Gaetano Pirrello,Bantamweight,SUB Arm Triangle,2,am,0.8,25,20,5,0,3.01,0.43,3.61,0.61,5.49,0.46,0.76,0.4,0.65,23,15,7,1,0.99,0.55,2.44,0.42,0,0,0.3,0
Win,Sumudaerji,Zarrukh Adashev,Flyweight,U-DEC,3,am,0.73,22,16,6,0,4.64,0.54,2.73,0.61,0.29,1,0.66,0.6,0.5,8,4,4,0,3.65,0.4,3.04,0.64,0,0,1,0.5
Win,Dalcha Lungiambula,Markus Perez,Middleweight,U-DEC,3,am,0.65,17,11,6,0,3.07,0.45,3.93,0.52,2.14,0.45,0.77,0,0.71,17,12,5,0,2.6,0.47,3.72,0.52,0.81,0.25,0.77,1
Win,Francisco Figueiredo,Jerome Rivera,Flyweight,U-DEC,3,am,0.72,18,13,5,0,2.04,0.61,2.59,0.61,2.51,0.75,0.76,0.4,0.63,16,10,6,0,3.21,0.33,2.6,0.51,0,0,0.4,0
Win,Mike Davis,Mason Jones,Lightweight,U-DEC,3,am,1,2,2,0,0,0,0,0,0,0,0,0,0,0.85,13,11,2,0,5.61,0.44,4.94,0.46,3.16,0.45,0.8,0
Win,Umar Nurmagomedov,Sergey Morozov,Bantamweight,SUB Rear Naked Choke,2,am,1,17,17,0,0,4.75,0.69,0.56,0.76,4.51,0.56,1,0.6,0.79,24,19,5,0,3.01,0.43,2.97,0.61,3.63,0.31,0.68,0
Win,Manon Fiorot,Victoria Leonardo,Women's Flyweight,KO/TKO Punches,2,am,0.92,13,12,1,0,6.26,0.41,3.77,0.68,1.17,0.42,0.93,0,0.6,15,9,6,0,3.27,0.39,4.7,0.46,1.6,0.27,0.71,0
Win,Max Holloway,Calvin Kattar,Featherweight,U-DEC,5,am,0.79,33,26,7,0,7.17,0.48,4.72,0.59,0.25,0.53,0.84,0.3,0.74,31,23,8,0,4.76,0.39,6.75,0.54,0.39,0.29,0.72,0.1
Win,Carlos Condit,Matt Brown,Welterweight,U-DEC,3,am,0.7,46,32,14,0,3.66,0.39,2.67,0.55,0.59,0.46,0.38,1,0.58,45,26,19,0,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3
Win,Li Jingliang,Santiago Ponzinibbio,Welterweight,KO/TKO Punch,1,am,0.7,27,19,8,0,4.46,0.42,3.84,0.57,1.25,0.41,0.6,0,0.81,37,30,7,0,4.9,0.41,4.67,0.61,0.48,0.3,0.6,0
Win,Alessio Di Chirico,Joaquin Buckley,Middleweight,KO/TKO Kick,1,am,0.65,20,13,7,0,3.32,0.39,3.44,0.61,1.46,0.39,0.83,0,0.75,24,18,6,0,4.06,0.34,3.26,0.58,1.4,0.36,0.69,0
Win,Punahele Soriano,Dusko Todorovic,Middleweight,KO/TKO Punch,1,am,0.69,13,9,4,0,3.96,0.45,4.55,0.48,0.79,0.4,0.33,0,0.75,16,12,4,0,5.54,0.57,4.55,0.46,0.96,0.12,0.45,0
Win,Joselyne Edwards,Wu Yanan,Women's Bantamweight,U-DEC,3,am,0.72,18,13,5,0,4.71,0.52,3.36,0.5,1,0.33,0.64,0.3,0.68,19,13,6,0,4.23,0.41,4.95,0.49,0.62,0.3,0.63,0.2
Win,Carlos Felipe,Justin Tafa,Heavyweight,S-DEC,3,am,0.85,13,11,2,0,4.88,0.45,5.6,0.5,0,0,0.72,0,0.64,11,7,4,0,4.09,0.54,5.02,0.47,0,0,0.5,0
Win,Ramazan Emeev,David Zawada,Welterweight,S-DEC,3,am,0.77,26,20,6,0,2.53,0.45,2.14,0.65,2.37,0.29,0.66,0.7,0.71,24,17,7,0,3.84,0.41,4.54,0.55,0.97,0.33,0.57,1.7
Win,Vanessa Melo,Sarah Moras,Women's Bantamweight,U-DEC,3,am,0.58,19,11,8,0,3.48,0.3,6.13,0.59,0,0,0.71,0,0.43,14,6,8,0,2.28,0.34,3.58,0.5,0.67,0.21,0.33,0.8
Win,Austin Lingo,Jacob Kilburn,Featherweight,U-DEC,3,am,0.75,12,9,3,0,3.86,0.37,4.86,0.57,0.43,0.66,0.75,0,0.67,12,8,4,0,2.56,0.33,6.78,0.35,0.51,0.05,0.2,0.5
Win,Stephen Thompson,Geoff Neal,Welterweight,U-DEC,5,am,0.68,25,17,7,1,4.11,0.46,3.03,0.54,0.26,0.41,0.65,0,0.71,21,15,6,0,4.97,0.5,5.47,0.57,0.46,0.44,0.87,0.1
Win,Jose Aldo,Marlon Vera,Bantamweight,U-DEC,3,am,0.79,39,31,8,0,3.57,0.46,3.74,0.6,0.49,0.54,0.91,0.1,0.7,33,23,9,1,4.31,0.49,5.48,0.5,0.53,0.39,0.7,0.9
Win,Michel Pereira,Khaos Williams,Welterweight,U-DEC,3,am,0.73,41,30,11,0,5.15,0.54,3.71,0.58,1.55,0.55,0.94,0.7,0.82,17,14,3,0,5.77,0.39,5.33,0.42,0,0,0.8,0
Win,Rob Font,Marlon Moraes,Bantamweight,KO/TKO Punches,1,am,0.71,28,20,8,0,5.53,0.45,3.65,0.56,0.89,0.35,0.46,0.3,0.68,34,23,10,1,3.37,0.4,4.53,0.54,0.87,0.41,0.46,0.3
Win,Marcin Tybura,Greg Hardy,Heavyweight,KO/TKO Punches,2,am,0.76,33,25,8,0,3.6,0.48,3.35,0.55,1.43,0.33,0.79,0.1,0.58,12,7,5,0,4.79,0.5,3.31,0.55,0.2,0.33,0.64,0
Win,Anthony Pettis,Alex Morono,Welterweight,U-DEC,3,am,0.71,34,24,10,0,3.05,0.47,3.44,0.54,0.61,0.5,0.6,1.1,0.73,33,24,9,0,4.87,0.4,4.16,0.58,0.32,0.22,0.55,0.4
Win,Pannie Kianzad,Sijara Eubanks,Women's Bantamweight,U-DEC,3,am,0.68,25,17,8,0,4.74,0.49,3.67,0.53,0.46,0.33,0.66,0.1,0.53,15,8,7,0,4.3,0.43,3.43,0.57,1.9,0.44,0.66,0.3
Win,Deron Winn,Antonio Arroyo,Catch Weight,U-DEC,3,am,0.7,10,7,3,0,4.55,0.44,6.21,0.46,4.28,0.52,0.4,0,0.64,14,9,5,0,2.82,0.66,2.02,0.5,1.14,0.41,0.41,0.2
Win,Taila Santos,Gillian Robertson,Women's Flyweight,U-DEC,3,am,0.86,22,19,3,0,3.39,0.48,2.64,0.58,2,0.76,0.86,1.1,0.62,21,13,8,0,2.61,0.46,3.12,0.56,2.53,0.43,0.43,1
Win,Tafon Nchukwi,Jamie Pickett,Middleweight,U-DEC,3,am,0.6,10,6,4,0,5.57,0.52,4.11,0.54,0.76,0.57,0.64,0,0.54,24,13,11,0,2.65,0.47,3.62,0.5,1.26,0.4,0.67,0.1
Win,Jimmy Flick,Cody Durden,Flyweight,SUB Triangle Choke,1,am,0.71,24,17,7,0,1.7,0.5,5.2,0.4,1.79,0.26,0,5.4,0.73,22,16,5,1,3.16,0.51,2.89,0.51,4.84,0.5,0.66,0.3
Win,Christos Giagos,Carlton Minus,Catch Weight,U-DEC,3,am,0.63,32,20,12,0,3.03,0.41,3.21,0.5,2.84,0.36,0.52,0.4,0.77,13,10,3,0,3.5,0.4,4.97,0.5,0,0,0.58,0
Draw,Deiveson Figueiredo,Brandon Moreno,Flyweight,M-DEC,5,am,0.85,27,23,3,1,3.01,0.55,3.38,0.5,1.65,0.42,0.58,1.7,0.68,31,21,8,2,3.87,0.44,3.63,0.59,1.74,0.46,0.63,0.5
Win,Charles Oliveira,Tony Ferguson,Lightweight,U-DEC,3,am,0.77,44,34,10,0,3.39,0.53,3.2,0.51,2.17,0.4,0.55,2.8,0.72,36,26,10,0,4.94,0.45,4.41,0.55,0.39,0.35,0.67,0.9
Win,Mackenzie Dern,Virna Jandiroba,Women's Strawweight,U-DEC,3,am,0.72,18,13,5,0,3.31,0.4,4.09,0.51,0.79,0.15,0.28,1.3,0.87,23,20,3,0,2.3,0.38,2.96,0.57,2.36,0.36,0.73,1.2
Win,Kevin Holland,Jacare Souza,Middleweight,KO/TKO Punch,1,am,0.69,36,25,11,0,4.24,0.49,3.19,0.5,0.85,0.38,0.54,0.6,0.72,36,26,10,0,2.53,0.47,2.83,0.62,2.57,0.39,0.57,1.3
Win,Ciryl Gane,Junior Dos Santos,Heavyweight,KO/TKO Elbow,2,am,0.86,14,12,2,0,5.49,0.6,2.19,0.63,0.58,0.21,0.5,0.5,0.7,30,21,9,0,4.49,0.47,3.33,0.56,0.3,0.5,0.81,0.1
Win,Cub Swanson,Daniel Pineda,Featherweight,KO/TKO Punch,2,am,0.69,42,29,13,0,4.7,0.5,3.84,0.59,1.09,0.52,0.61,0.4,0.65,43,28,15,0,3.09,0.49,3.18,0.46,1.71,0.25,0.48,1.7
Win,Rafael Fiziev,Renato Moicano,Lightweight,KO/TKO Punch,1,am,0.8,15,12,3,0,4.9,0.51,4.97,0.49,0.29,0.4,0.89,0,0.76,25,19,5,1,4.38,0.48,3.68,0.6,1.89,0.45,0.72,0.6
Win,Gavin Tucker,Billy Quarantillo,Featherweight,U-DEC,3,am,0.81,16,13,3,0,4.29,0.44,4.18,0.57,3.13,0.44,0.53,1.5,0.75,24,18,6,0,7.36,0.56,5.57,0.43,1.24,0.23,0.61,1.1
Win,Tecia Pennington,Sam Hughes,Women's Strawweight,KO/TKO,1,am,0.68,19,13,6,0,4.74,0.48,3.59,0.61,0.66,0.14,0.61,0.1,0.57,14,8,6,0,4.03,0.45,4.51,0.56,0.96,0.3,0.57,0
Win,Chase Hooper,Peter Barrett,Featherweight,SUB Heel Hook,3,am,0.76,17,13,3,1,4.86,0.51,3.59,0.36,1.42,0.22,0.55,2.2,0.69,16,11,5,0,4.18,0.61,4.32,0.42,1.39,0.22,0.66,0
Win,Marvin Vettori,Jack Hermansson,Middleweight,U-DEC,5,am,0.7,27,19,7,1,4.56,0.45,4.24,0.56,1.66,0.45,0.69,0.5,0.75,32,24,8,0,5.09,0.44,3.69,0.56,1.53,0.3,0.8,0.4
Win,Jamahal Hill,Ovince Saint Preux,Light Heavyweight,KO/TKO Punches,2,am,0.86,14,12,2,0,7.18,0.54,3.51,0.46,0,0,0.73,0,0.61,44,27,17,0,3.03,0.47,3.32,0.47,1.1,0.36,0.67,0.5
Win,Gabriel Benitez,Justin Jaynes,Lightweight,KO/TKO Knee,1,am,0.66,35,23,12,0,4.92,0.41,4.26,0.62,0.24,0.5,0.55,1,0.67,24,16,8,0,3.34,0.44,5.33,0.62,0.75,0.4,0.2,1.1
Win,Roman Dolidze,John Allan,Light Heavyweight,S-DEC,3,am,0.8,15,12,3,0,2.62,0.39,3.36,0.51,1.3,0.4,0.33,1.3,0.65,20,13,7,0,3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8
Win,Jordan Leavitt,Matt Wiman,Lightweight,KO/TKO Slam,1,am,0.79,14,11,3,0,2.55,0.61,1.84,0.57,2.19,0.25,0.3,1.1,0.62,26,16,10,0,3.17,0.5,3.57,0.51,2.13,0.37,0.56,1.5
Win,Louis Smolka,Jose Quinonez,Bantamweight,KO/TKO Punches,2,am,0.65,26,17,9,0,4.67,0.47,4.11,0.53,1.69,0.35,0.32,1.8,0.64,14,9,5,0,3.6,0.45,3,0.64,2.7,0.47,0.42,0.6
Win,Ilia Topuria,Damon Jackson,Featherweight,KO/TKO Punch,1,am,1,15,15,0,0,4.4,0.46,3.35,0.65,1.92,0.56,0.92,1.3,0.79,29,23,6,0,3,0.41,3.29,0.51,2.51,0.35,0.4,1.4
Win,Jake Collier,Gian Villante,Heavyweight,U-DEC,3,am,0.57,23,13,10,0,5.8,0.44,5.08,0.5,0.71,0.33,0.67,0.6,0.55,31,17,14,0,4.38,0.44,5.47,0.55,0.45,0.23,0.83,0
Win,Anthony Smith,Devin Clark,Light Heavyweight,SUB Triangle Choke,1,am,0.66,56,37,19,0,3.21,0.48,4.47,0.46,0.49,0.26,0.48,0.6,0.61,23,14,9,0,3.03,0.54,3.24,0.44,2.17,0.32,0.58,0.1
Win,Miguel Baeza,Takashi Sato,Welterweight,SUB Arm Triangle,2,am,0.77,13,10,3,0,4.88,0.49,5.1,0.53,0.44,0.28,1,1.8,0.7,23,16,7,0,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0
Win,Parker Porter,Josh Parisian,Heavyweight,U-DEC,3,am,0.61,23,14,9,0,6.55,0.5,6.32,0.51,1.35,0.26,0.66,0.5,0.65,23,15,8,0,4.55,0.48,4.88,0.41,0.98,0.33,0.46,0.2
Win,Bill Algeo,Spike Carlyle,Featherweight,U-DEC,3,am,0.69,26,18,8,0,6.16,0.52,4.52,0.47,0.86,0.46,0.56,0.1,0.75,12,9,3,0,2.55,0.54,3.85,0.3,3.34,0.36,0.57,0.5
Win,Norma Dumont,Ashlee Evans-Smith,Women's Bantamweight,U-DEC,3,am,0.85,13,11,2,0,3.11,0.49,1.89,0.66,1.91,0.68,0.72,0,0.5,12,6,6,0,4.03,0.34,4.59,0.53,0.95,0.22,0.5,0
Win,Jonathan Pearce,Kai Kamaka,Featherweight,KO/TKO Punches,2,am,0.74,19,14,5,0,5.6,0.56,3.35,0.55,5.29,0.53,0.56,0.8,0.62,13,8,4,1,4.96,0.57,5.29,0.55,1.93,0.58,0.52,0.3
Win,Anderson Dos Santos,Martin Day,Bantamweight,SUB Guillotine Choke,1,am,0.7,30,21,9,0,2.7,0.25,5.37,0.49,0.98,0.14,0.66,0.7,0.57,14,8,6,0,3.97,0.45,3.79,0.53,0.72,0.6,0.65,0.5
Win,Gina Mazany,Rachael Ostovich,Women's Flyweight,KO/TKO Kick,3,am,0.54,13,7,6,0,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2,0.4,10,4,6,0,2.54,0.43,3.97,0.57,2.03,0.83,0.66,0.8
Win,Sumudaerji,Malcolm Gordon,Flyweight,KO/TKO Punches,1,am,0.73,22,16,6,0,4.64,0.54,2.73,0.61,0.29,1,0.66,0.6,0.64,22,14,8,0,2.5,0.45,2,0.43,1.72,0.35,0.26,1
Win,Nate Maness,Luke Sanders,Catch Weight,SUB Rear Naked Choke,2,am,0.83,18,15,3,0,2.33,0.48,4.29,0.4,0.87,0.75,0.78,0.3,0.72,18,13,5,0,6.61,0.52,4.37,0.5,0.71,0.3,0.72,0.2
Win,Deiveson Figueiredo,Alex Perez,Flyweight,SUB Guillotine Choke,1,am,0.85,27,23,3,1,3.01,0.55,3.38,0.5,1.65,0.42,0.58,1.7,0.75,32,24,8,0,4.12,0.46,3.14,0.59,2.26,0.44,0.82,1
Win,Valentina Shevchenko,Jennifer Maia,Women's Flyweight,U-DEC,5,am,0.82,28,23,4,1,3.28,0.52,2.11,0.62,2.56,0.63,0.71,0.4,0.66,32,21,10,1,4.35,0.38,4.52,0.55,0.42,0.27,0.58,0.1
Win,Tim Means,Mike Perry,Welterweight,U-DEC,3,am,0.69,48,33,15,0,5.1,0.49,3.65,0.6,1.16,0.42,0.65,0.2,0.64,22,14,8,0,4.32,0.47,5.16,0.52,0.81,0.4,0.78,0.2
Win,Katlyn Cerminara,Cynthia Calvillo,Women's Flyweight,U-DEC,3,am,0.75,24,18,6,0,4.58,0.34,4.48,0.62,0.31,0.15,0.5,0.3,0.56,16,9,6,1,4.41,0.38,4.12,0.64,1.8,0.44,0.77,0.8
Win,Paul Craig,Mauricio Rua,Light Heavyweight,KO/TKO Punches,2,am,0.68,25,17,7,1,2.42,0.46,2.86,0.45,1.76,0.22,0.37,1.6,0.64,42,27,14,1,3.57,0.5,2.79,0.54,2.01,0.48,0.49,0.7
Win,Brandon Moreno,Brandon Royval,Flyweight,KO/TKO Punches,1,am,0.68,31,21,8,2,3.87,0.44,3.63,0.59,1.74,0.46,0.63,0.5,0.7,23,16,7,0,4.33,0.36,3.42,0.46,0.47,0.6,0.4,1.1
Win,Joaquin Buckley,Jordan Wright,Middleweight,KO/TKO Punches,2,am,0.75,24,18,6,0,4.06,0.34,3.26,0.58,1.4,0.36,0.69,0,0.71,17,12,5,0,4.1,0.56,6.03,0.31,2.09,0.45,1,0.4
Win,Antonina Shevchenko,Ariane Lipski,Women's Flyweight,KO/TKO Punches,2,am,0.71,14,10,4,0,3.86,0.55,2.93,0.52,0.43,0.42,0.53,0.4,0.68,25,17,8,0,4.27,0.4,4.23,0.52,0.64,0.55,0.79,0.4
Win,Nicolas Dalby,Daniel Rodriguez,Welterweight,U-DEC,3,am,0.85,27,23,4,0,4.03,0.43,3.43,0.52,1.11,0.3,0.6,0.1,0.81,21,17,4,0,7.3,0.5,5.28,0.56,0.62,0.5,0.63,0.1
